Trial Start Raw Time [ms]	Trial Start Time of Day [h:m:s:ms]	Stimulus	Participant	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Fixation Position X [px]	Fixation Position Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	Annotation Name	Annotation Description	Annotation Tags
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	1	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	1	1.6	182.3	180.6	950.1	488.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	1	182.3	216.8	34.5	-	-	959.9	504.8	949.0	634.9	2.6	4824.7	7196.9	-6847.7	74.8	170.1	39.5	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	2	216.8	470.0	253.2	967.6	628.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	2	470.0	493.7	23.7	-	-	944.9	646.5	977.9	654.4	0.7	1259.4	1518.7	-1937.5	29.3	43.0	60.5	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	3	513.9	557.1	43.1	-	-	985.9	650.8	846.5	608.5	2.9	4531.7	7668.4	-6792.9	67.3	165.1	30.9	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	3	557.1	608.8	51.7	846.7	612.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	4	608.8	656.3	47.5	-	-	847.4	617.1	760.5	572.0	2.0	2352.3	5035.2	-3880.6	41.8	103.8	26.8	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	4	656.3	881.3	225.0	765.0	569.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	5	881.3	915.8	34.5	-	-	787.8	572.3	939.4	552.7	3.0	6305.1	8603.9	-8938.2	87.2	184.0	48.2	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	5	915.8	1085.5	169.7	943.2	558.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	6	1085.5	1111.9	26.4	-	-	938.1	553.6	938.1	625.1	1.3	2303.2	4158.7	-2547.5	50.8	97.2	68.7	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	7	1139.9	1172.9	33.0	-	-	936.1	597.6	945.1	556.3	0.9	768.1	1026.8	-1267.0	27.5	40.7	27.2	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	6	1172.9	1276.2	103.3	951.7	584.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	3	1188.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	8	1276.2	1317.5	41.3	-	-	945.1	555.7	805.2	641.8	3.9	5838.8	8508.0	-8410.6	95.0	198.6	45.1	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	7	1317.5	1432.0	114.5	815.5	655.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	9	1432.0	1474.6	42.6	-	-	829.7	652.9	0.0	0.0	29.2	50367.8	78012.3	-91373.3	683.7	2151.5	64.4	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	1	1474.6	1603.2	128.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	10	1603.2	1703.9	100.7	-	-	0.0	0.0	404.5	814.4	51.0	25548.8	58441.8	-44279.6	506.7	1416.0	20.3	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	4	1667.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	11	1703.9	1750.1	46.2	-	-	404.5	814.4	0.0	0.0	22.0	16761.2	28561.6	-28515.3	476.2	1068.5	22.0	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	2	1750.1	1822.9	72.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	12	1822.9	1943.4	120.5	-	-	0.0	0.0	807.0	613.1	52.0	22636.2	64522.7	-64041.6	431.7	2272.1	35.1	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	5	1931.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	8	1943.4	2140.6	197.2	805.0	621.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	13	2140.6	2194.4	53.8	-	-	804.2	611.6	0.0	0.0	44.3	54063.9	81891.0	-116073.7	823.0	2745.4	72.6	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	3	2194.4	2417.3	222.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	14	2417.3	2478.4	61.1	-	-	0.0	0.0	824.6	526.3	43.5	44214.8	106190.4	-79719.0	712.7	2541.6	25.2	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	9	2541.0	2604.0	63.1	861.8	607.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	6	2547.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	15	2604.0	2631.0	27.0	-	-	858.7	599.5	804.2	624.1	1.5	3573.9	4808.0	-5014.4	57.2	117.1	44.9	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	10	2631.0	2867.3	236.3	770.0	609.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	7	2739.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	16	2867.3	2921.0	53.7	-	-	762.6	597.1	0.0	0.0	39.8	48933.3	77725.1	-108019.9	741.5	2527.9	69.4	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	4	2921.0	3634.6	713.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	17	3634.6	3686.6	52.0	-	-	0.0	0.0	870.6	493.8	38.1	43605.6	90714.1	-57285.2	733.0	2146.5	24.5	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	18	3702.5	3752.3	49.9	-	-	848.4	544.2	851.1	590.2	1.8	854.7	369.0	-1545.5	36.5	67.8	23.8	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	19	3801.1	3828.6	27.5	-	-	839.2	570.5	835.1	624.8	0.9	994.5	1815.1	-885.7	31.1	48.8	36.1	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	8	3811.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	11	3998.9	4109.8	110.9	858.3	587.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	20	4144.1	4212.9	68.8	-	-	861.8	598.9	1128.2	775.3	8.4	8709.5	19742.4	-18521.0	121.9	417.9	35.7	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	12	4212.9	4267.2	54.3	1131.1	783.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	13	4331.5	4453.6	122.0	1133.2	779.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	21	4453.6	4504.0	50.5	-	-	1129.8	780.0	1026.8	709.3	3.4	3737.1	6900.6	-5302.1	67.0	150.7	37.4	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	14	4504.0	5027.4	523.4	1013.4	702.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	22	5027.4	5051.4	24.0	-	-	987.1	692.2	1024.0	689.3	0.7	572.2	814.7	-1023.7	27.5	47.0	58.7	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	15	5051.4	5108.0	56.6	1005.5	682.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	5	5108.0	5262.1	154.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	16	5262.1	5343.4	81.4	1020.9	674.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	23	5385.4	5416.7	31.3	-	-	996.4	650.1	1041.3	617.3	1.0	1100.5	1311.3	-1565.8	30.6	41.1	53.2	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	17	5416.7	5731.8	315.0	1025.7	656.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	24	5731.8	5795.4	63.6	-	-	1019.8	686.7	1093.1	736.4	3.2	2564.9	6055.5	-4568.6	49.8	133.0	29.9	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	25	5823.1	5863.3	40.1	-	-	1067.3	744.0	1122.9	760.3	1.2	1044.5	1602.2	-1146.2	30.2	46.3	32.1	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	18	5863.3	6087.3	224.0	1100.7	740.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	26	6087.3	6127.8	40.5	-	-	1076.8	704.8	1271.1	811.2	5.0	7960.1	10824.7	-10414.8	122.6	239.6	36.0	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	19	6127.8	6227.8	100.0	1290.3	806.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	27	6227.8	6269.9	42.1	-	-	1296.6	805.4	1292.6	828.3	1.4	1281.8	2359.2	-1806.5	33.8	57.3	34.9	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	20	6269.9	6379.2	109.3	1278.4	839.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2249591.1	08:58:10:671	P04-Kuba-scrrec2.mkv	P04-Kuba	9	6366.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
