RecordingTime [ms]	Time of Day [h:m:s:ms]	Stimulus	Participant	Point of Regard Right X [px]	Point of Regard Right Y [px]	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Content
1808037.9	08:50:49:114	P03-Radek-scrrec2.mkv	P03-Radek	-	-	-	-	-	-	-	p03-radek-scrrec2.mkv
1808039.8	08:50:49:116	P03-Radek-scrrec2.mkv	P03-Radek	1098.6	527.4	-	-	-	-	-	-
1808043.7	08:50:49:120	P03-Radek-scrrec2.mkv	P03-Radek	1096.6	527.5	-	-	-	-	-	-
1808047.5	08:50:49:124	P03-Radek-scrrec2.mkv	P03-Radek	1099.2	526.4	-	-	-	-	-	-
1808053.3	08:50:49:129	P03-Radek-scrrec2.mkv	P03-Radek	1097.6	527.5	-	-	-	-	-	-
1808057.4	08:50:49:133	P03-Radek-scrrec2.mkv	P03-Radek	1096.4	525.2	-	-	-	-	-	-
1808061.0	08:50:49:137	P03-Radek-scrrec2.mkv	P03-Radek	1093.2	522.1	-	-	-	-	-	-
1808064.8	08:50:49:141	P03-Radek-scrrec2.mkv	P03-Radek	1093.0	522.9	-	-	-	-	-	-
1808070.4	08:50:49:147	P03-Radek-scrrec2.mkv	P03-Radek	1089.8	519.7	-	-	-	-	-	-
1808076.2	08:50:49:152	P03-Radek-scrrec2.mkv	P03-Radek	1089.8	519.1	-	-	-	-	-	-
1808080.8	08:50:49:157	P03-Radek-scrrec2.mkv	P03-Radek	1091.4	520.5	-	-	-	-	-	-
1808084.7	08:50:49:161	P03-Radek-scrrec2.mkv	P03-Radek	1091.1	517.4	-	-	-	-	-	-
1808090.9	08:50:49:167	P03-Radek-scrrec2.mkv	P03-Radek	1089.2	513.8	-	-	-	-	-	-
1808094.8	08:50:49:171	P03-Radek-scrrec2.mkv	P03-Radek	1091.6	515.9	-	-	-	-	-	-
1808098.7	08:50:49:175	P03-Radek-scrrec2.mkv	P03-Radek	1090.4	514.8	-	-	-	-	-	-
1808102.8	08:50:49:179	P03-Radek-scrrec2.mkv	P03-Radek	1089.7	512.7	-	-	-	-	-	-
1808109.0	08:50:49:185	P03-Radek-scrrec2.mkv	P03-Radek	1089.0	511.1	-	-	-	-	-	-
1808113.1	08:50:49:189	P03-Radek-scrrec2.mkv	P03-Radek	1091.6	511.3	-	-	-	-	-	-
