,ind,Zoom_level,Duration,Longitude,Latitude,Sync_time
0,0,7.0,361.7,16.297092274957915,49.76403023681847,69.5
1,1,7.0,141.1,16.882663453533116,49.22097756514443,621.4
2,2,7.0,422.5,15.54452876803545,50.02306615667367,790.8
3,3,7.0,386.4,17.486911524784734,49.89372178380926,1275.7
4,4,6.0,373.8,20.887706490409663,45.08654528033994,1748.7
5,5,4.0,328.5,37.27538552928714,27.362419249064402,2251.0
6,6,3.0,216.1,58.29065105066887,4.116371848113544,2670.2
7,7,3.0,148.7,82.14416903914149,-12.221874337347932,2923.2
8,8,3.0,148.5,138.2711115538147,-32.03598313658991,3160.1
9,9,3.0,123.7,169.71838273899684,-37.127005384736975,3568.0
10,10,3.0,270.6,192.06017622377635,-47.71416526629872,3748.8
11,11,3.0,139.1,161.22816089608708,-36.70538820972006,4062.9
12,12,3.0,166.9,169.20861280189723,-26.72398325025415,4239.9
13,13,3.0,816.5,152.2633167844268,-38.00478589647549,4454.1
14,14,6.0,355.6,149.4655916890562,-41.162982808757924,5323.6
15,15,7.0,354.1,147.806655990603,-41.91948926624996,5704.9
16,16,7.0,2534.4,147.91102611200097,-41.83359661687049,6085.6
17,17,11.0,105.9,147.41463472697407,-42.88036678101766,8645.9
