,ind,Zoom_level,Format_RT,Longitude,Latitude
0,0,7.0,2.8999999999068677,15.009495463446175,49.012444700532356
1,1,7.0,6.5,15.020481792014374,48.961256405055764
2,2,7.0,10.5,15.067723541299525,48.98938045955325
3,3,7.0,14.399999999906868,15.02377822702668,48.93311692307495
4,4,7.0,19.799999999813735,15.033665520406702,48.935281994236156
5,5,7.0,25.199999999720603,15.056737212731301,48.9258990473331
6,6,7.0,29.0,15.054539812907198,48.95620720211
7,7,7.0,32.6999999997206,15.084203034151836,48.986496513399075
8,8,7.0,38.0,15.096287727355964,49.01676786426456
9,9,7.0,41.799999999813735,15.08530139878774,49.10099803877712
10,10,7.0,45.60000000009313,15.096287727355964,49.11753921562294
11,11,7.0,49.60000000009313,15.099583491815972,49.12329131856431
12,12,7.0,54.799999999813735,14.95676122042921,49.062140175488445
13,13,7.0,58.5,15.014988627730288,49.07437651819841
14,14,7.0,63.0,14.87436375616763,49.07293702735405
15,15,7.0,67.39999999990687,14.820531148514762,49.10243671634123
16,16,7.0,73.0,14.974339748469722,49.090926567156764
17,17,7.0,77.79999999981374,14.972142348645617,49.07077793252555
18,18,7.0,81.5,15.000706534702056,49.072217485931695
19,19,7.0,85.29999999981374,15.021580827202575,49.031176284791826
20,20,7.0,90.6999999997206,15.11496462003238,48.98217072127239
21,21,7.0,94.5,14.984227041849744,48.9886597086743
22,22,7.0,98.39999999990687,14.943577492036907,48.97207515912584
23,23,7.0,102.5,14.858983298503496,48.96342069584633
24,24,7.0,107.6999999997206,14.672215712843913,48.99082237003626
25,25,7.0,111.5,14.837010641367073,48.99514741114786
26,26,7.0,115.39999999990687,14.793065327094226,48.9886597086743
27,27,7.0,119.1999999997206,14.875462791355831,49.03981942265386
28,28,7.0,124.39999999990687,14.841404770463008,49.12760528706579
29,29,7.0,129.6999999997206,14.816136348866578,49.19441964885462
30,30,7.0,133.60000000009313,14.830418441894784,49.19441964885462
31,31,7.0,137.39999999990687,14.882054320275847,49.20734097932804
32,32,7.0,142.6999999997206,14.999608170066152,49.21164763130511
33,33,7.0,148.1999999997206,15.21823570624218,49.16713009975158
34,34,7.0,152.1999999997206,14.943577492036907,49.21810624889032
35,35,7.0,155.79999999981374,14.964451784537426,49.22025893388983
36,36,7.0,161.10000000009313,14.98532607703792,49.208058999750186
37,37,7.0,164.6999999997206,14.909520141696357,49.24751962099201
38,38,7.0,168.6999999997206,14.922703870088684,49.24823662003454
39,39,7.0,172.60000000009313,14.969944948821514,49.23317395062425
40,40,7.0,177.89999999990687,14.978733877565633,49.20734097932804
41,41,7.0,181.60000000009313,14.899632177764062,49.18293128488756
42,42,7.0,185.1999999997206,14.86557482742351,49.15922739637906
43,43,7.0,190.5,14.87436375616763,49.15060546501594
44,44,7.0,196.1999999997206,14.929295399008675,49.13263755659943
45,45,7.0,201.39999999990687,14.933690198656883,49.10387535219944
46,46,7.0,205.1999999997206,14.991917605957935,49.06501974112026
47,47,7.0,208.89999999990687,15.006199698986167,49.07293702735405
48,48,7.0,212.60000000009313,15.050145013259014,49.04918094422795
49,49,7.0,217.6999999997206,15.100682527004148,49.066459461365454
50,50,7.0,221.39999999990687,15.161107334129303,49.07293702735405
51,51,7.0,225.10000000009313,15.133641512708794,49.07653545663276
52,52,7.0,230.29999999981374,15.152317734832911,49.07077793252555
53,53,7.0,234.10000000009313,15.128148348424682,49.08660984755938
